Date,Open,High,Low,Close,Adj Close,Volume
2016-07-07,1050.670044,1054.130005,1034.000000,1036.030029,954.333679,279532
2016-07-08,1039.930054,1039.930054,1015.030029,1021.169983,940.645447,292428
2016-07-11,1034.869995,1046.670044,1034.869995,1039.569946,957.594482,210957
2016-07-12,1040.670044,1047.300049,1032.000000,1045.329956,962.900269,230481
2016-07-13,1046.699951,1047.270020,1030.000000,1032.770020,951.330688,188374
2016-07-14,1038.630005,1046.670044,1028.800049,1042.569946,960.357910,182367
2016-07-15,1043.329956,1063.300049,1038.670044,1057.329956,973.953979,300789
2016-07-18,1056.670044,1068.630005,1044.099976,1049.969971,967.174438,181215
2016-07-19,1050.000000,1055.329956,1041.329956,1048.829956,966.124268,190114
2016-07-20,1046.670044,1056.670044,1045.400024,1047.599976,964.991272,140227
2016-07-21,1050.000000,1053.329956,1034.829956,1037.500000,955.687683,154273
2016-07-22,1040.670044,1051.069946,1036.770020,1049.300049,966.557251,136146
2016-07-25,1050.000000,1058.699951,1042.670044,1056.969971,973.622375,125946
2016-07-26,1058.670044,1064.630005,1053.800049,1060.930054,977.270142,195999
2016-07-27,1063.300049,1076.670044,1058.670044,1067.469971,983.294312,260503
2016-07-28,1068.000000,1071.000000,1040.670044,1051.300049,968.399536,237838
2016-07-29,1059.869995,1062.969971,1033.869995,1038.670044,956.765564,447138
2016-08-01,1040.670044,1056.630005,993.400024,995.867004,917.337708,1793053
2016-08-02,996.666992,1009.929993,993.400024,1002.729980,923.659424,266839
2016-08-03,1006.000000,1010.030029,981.000000,985.232971,907.542175,331254
2016-08-04,996.666992,997.466980,975.000000,980.232971,902.936462,223438
2016-08-05,986.666992,1011.030029,985.700012,1008.429993,928.909973,289866
2016-08-08,1010.700012,1016.530029,998.666992,1004.900024,925.658447,167875
2016-08-09,1005.330017,1007.330017,992.700012,998.400024,919.670959,205756
2016-08-10,1000.000000,1003.330017,985.132996,988.333008,910.397888,154600
2016-08-11,986.666992,988.000000,975.567017,982.799988,905.301147,155049
2016-08-12,986.666992,1002.770020,986.666992,992.267029,914.021606,134457
2016-08-16,994.132996,1006.669983,982.666992,1003.630005,924.488586,214246
2016-08-17,1003.630005,1009.270020,994.799988,1001.330017,922.369934,125140
2016-08-18,995.000000,999.267029,987.333008,988.432983,927.392334,129015
2016-08-19,990.666992,998.299988,987.067017,993.599976,932.240234,121435
2016-08-22,995.333008,1001.169983,986.666992,994.732971,933.303284,127401
2016-08-23,995.966980,995.966980,976.500000,983.732971,922.982605,154051
2016-08-24,986.666992,989.333008,977.333008,982.000000,921.356628,145627
2016-08-25,983.333008,988.799988,968.333008,971.567017,911.567932,176572
2016-08-26,970.000000,973.867004,946.666992,951.900024,893.115479,315933
2016-08-29,956.666992,974.666992,947.333008,970.799988,910.848267,284305
2016-08-30,976.666992,984.666992,972.000000,982.567017,921.888672,308355
2016-08-31,982.567017,1012.530029,980.500000,1009.229980,946.905029,470866
2016-09-01,1006.669983,1011.000000,1001.030029,1005.099976,943.030151,174621
2016-09-02,1006.299988,1006.729980,991.400024,1001.599976,939.746216,127275
2016-09-06,1006.669983,1015.669983,1003.429993,1010.599976,948.190430,789639
2016-09-07,1010.599976,1027.199951,1003.330017,1012.799988,950.254578,278863
2016-09-08,1010.000000,1030.500000,1010.000000,1025.930054,962.573792,154719
2016-09-09,1025.270020,1027.170044,1009.330017,1012.929993,950.376526,117787
2016-09-12,999.067017,999.067017,973.833008,975.666992,915.414734,316644
2016-09-14,975.666992,987.500000,971.333008,983.400024,922.670166,199726
2016-09-15,983.466980,985.333008,972.000000,980.400024,919.855408,152076
2016-09-16,984.067017,998.966980,980.400024,983.666992,922.920715,218026
2016-09-19,982.000000,988.932983,976.666992,986.799988,925.860229,111522
2016-09-20,988.000000,988.666992,980.067017,983.333008,922.607361,85525
2016-09-21,985.799988,991.700012,978.000000,980.900024,920.324646,115677
2016-09-22,989.400024,1001.700012,985.567017,999.333008,937.619202,260950
2016-09-23,1000.070007,1010.669983,994.267029,997.867004,936.243835,174432
2016-09-26,996.599976,1006.799988,976.799988,979.132996,918.666687,188796
2016-09-27,980.000000,984.367004,956.666992,959.666992,900.402771,232774
2016-09-28,962.000000,977.700012,959.700012,970.200012,910.285400,162834
2016-09-29,973.333008,979.333008,947.367004,957.666992,898.526306,228619
2016-09-30,954.666992,960.000000,941.700012,954.432983,895.492004,324349
2016-10-03,960.000000,982.666992,957.333008,979.900024,919.386292,210633
2016-10-04,984.666992,986.732971,962.799988,965.932983,906.281799,268636
2016-10-05,970.000000,973.833008,961.000000,968.767029,908.940918,172642
2016-10-06,974.666992,978.533020,964.000000,969.700012,909.816223,139837
2016-10-07,971.333008,972.666992,961.000000,969.900024,910.003906,102408
2016-10-10,971.333008,977.000000,965.333008,967.466980,907.721069,68574
2016-10-13,962.666992,964.632996,954.799988,957.599976,898.463440,127462
2016-10-14,958.799988,983.333008,958.799988,981.666992,921.044250,213636
2016-10-17,986.666992,986.666992,961.333008,964.867004,905.281677,505864
2016-10-18,968.333008,994.299988,967.500000,992.333008,931.051575,225868
2016-10-19,992.333008,999.132996,983.666992,990.533020,929.362732,316152
2016-10-20,996.666992,1004.599976,988.033020,1002.700012,940.778320,195777
2016-10-21,1000.000000,1009.669983,996.000000,1007.000000,944.812805,186460
2016-10-24,1010.630005,1013.330017,990.033020,996.367004,934.836365,190641
2016-10-25,998.000000,999.666992,986.666992,989.599976,928.487305,114487
2016-10-26,989.867004,992.000000,981.333008,988.466980,927.424316,98136
2016-10-27,981.333008,987.500000,972.033020,982.267029,921.607178,176361
2016-10-28,981.333008,988.666992,975.367004,985.267029,924.421936,158032
2016-11-01,984.799988,986.767029,975.000000,976.400024,916.102478,96822
2016-11-02,971.333008,971.333008,958.000000,964.232971,904.686829,172215
2016-11-03,960.000000,977.200012,960.000000,963.033020,903.561035,125926
2016-11-04,948.000000,956.000000,931.333008,945.932983,887.516907,10928227
2016-11-07,953.333008,954.632996,929.200012,933.232971,875.601257,490905
2016-11-08,934.367004,936.000000,923.067017,930.833008,873.349487,257428
2016-11-09,899.267029,938.932983,863.533020,927.067017,869.816101,465058
2016-11-10,933.333008,951.466980,933.333008,942.432983,884.233154,180975
2016-11-11,936.666992,939.000000,924.099976,926.500000,869.283997,103797
2016-11-15,923.333008,937.000000,909.033020,913.232971,856.836365,205111
2016-11-16,920.000000,926.000000,901.333008,914.732971,858.243713,145279
2016-11-17,916.666992,922.666992,906.666992,913.966980,857.525024,108309
2016-11-18,916.666992,921.299988,908.000000,912.599976,856.242432,106069
2016-11-21,916.666992,916.666992,893.000000,898.833008,843.325623,110131
2016-11-22,904.166992,906.666992,871.067017,886.132996,831.409851,325005
2016-11-23,906.599976,923.033020,900.067017,905.232971,849.330383,422643
2016-11-24,904.000000,910.000000,894.000000,901.700012,846.015564,165166
2016-11-25,901.767029,916.599976,891.333008,913.132996,856.742432,284490
2016-11-28,914.000000,914.599976,900.166992,904.099976,848.267273,154077
2016-11-29,906.666992,913.000000,900.267029,903.033020,847.266296,100276
2016-11-30,904.799988,926.799988,900.799988,921.700012,864.780518,213883
2016-12-01,925.299988,934.000000,916.000000,923.599976,866.563171,196387
2016-12-02,919.867004,919.867004,903.466980,906.833008,850.831543,152164
2016-12-05,906.666992,909.666992,900.333008,905.400024,849.487061,92167
2016-12-06,907.333008,916.333008,905.666992,908.232971,852.145081,91503
2016-12-07,908.232971,916.333008,900.000000,902.299988,846.578491,102262
2016-12-08,906.700012,916.666992,906.700012,911.267029,854.991821,99441
2016-12-09,916.000000,916.000000,905.333008,907.632996,851.582214,81064
2016-12-12,907.666992,916.700012,904.033020,910.000000,853.803040,111124
2016-12-13,916.000000,919.932983,910.466980,916.932983,860.307800,94917
2016-12-14,914.033020,919.333008,905.299988,906.867004,850.863464,112884
2016-12-15,903.200012,911.166992,899.400024,905.500000,849.580933,113188
2016-12-16,905.533020,908.966980,902.000000,905.932983,849.987061,95455
2016-12-19,906.666992,906.666992,894.067017,896.732971,841.355286,99838
2016-12-20,896.666992,906.533020,894.166992,902.033020,846.328064,97260
2016-12-21,903.333008,907.000000,893.333008,894.900024,839.635498,83185
2016-12-22,894.666992,896.666992,875.867004,877.599976,823.403809,156747
2016-12-23,877.599976,893.333008,868.000000,891.299988,836.257813,159963
2016-12-26,889.333008,894.666992,879.666992,891.732971,836.664063,119805
2016-12-27,892.000000,905.666992,886.666992,902.966980,847.204285,464107
2016-12-28,903.333008,908.666992,896.666992,900.432983,844.826843,123532
2016-12-29,892.000000,903.333008,888.299988,894.232971,839.009644,127621
2016-12-30,900.000000,904.000000,895.632996,899.599976,844.045227,83869
2017-01-02,900.000000,911.966980,900.000000,907.200012,851.175903,114996
2017-01-03,907.200012,916.599976,901.400024,912.000000,855.679565,201705
2017-01-04,913.700012,921.333008,913.333008,917.333008,860.683228,102351
2017-01-05,922.000000,931.333008,918.666992,929.299988,871.911194,208968
2017-01-06,932.000000,935.666992,925.333008,927.432983,870.159363,124689
2017-01-09,927.333008,931.632996,917.333008,920.432983,863.591736,57729
2017-01-10,917.333008,928.666992,917.333008,924.232971,867.157043,133086
2017-01-11,930.666992,944.932983,930.599976,941.867004,883.702087,608188
2017-01-12,941.867004,967.333008,941.867004,966.067017,906.407654,339103
2017-01-13,971.333008,973.299988,955.099976,958.932983,899.714050,158032
2017-01-16,956.732971,966.500000,955.333008,961.732971,902.341187,76194
2017-01-17,962.000000,973.000000,960.732971,964.232971,904.686829,180331
2017-01-18,963.333008,979.799988,963.333008,967.166992,907.439575,154444
2017-01-19,966.666992,975.333008,961.400024,963.666992,904.155762,98200
2017-01-20,966.000000,968.666992,940.000000,943.033020,884.796082,140937
2017-01-23,943.932983,944.000000,922.000000,929.000000,871.629639,192460
2017-01-24,930.000000,948.500000,930.000000,946.432983,887.986084,137949
2017-01-25,946.700012,968.799988,946.700012,966.299988,906.626160,179302
2017-01-27,967.333008,979.666992,956.700012,959.767029,900.496704,204748
2017-01-30,964.666992,977.666992,958.000000,962.232971,902.810364,223044
2017-01-31,963.267029,969.932983,951.299988,963.166992,903.686584,160140
2017-02-01,963.166992,995.666992,963.166992,993.833008,932.458923,510387
2017-02-02,986.732971,994.632996,978.666992,982.200012,921.544312,134149
2017-02-03,983.333008,991.966980,971.400024,986.299988,925.391174,156535
2017-02-06,993.333008,1000.000000,986.033020,989.966980,928.831604,191614
2017-02-07,988.533020,1003.330017,982.067017,1000.030029,938.273254,262570
2017-02-08,1001.000000,1005.000000,991.632996,1001.900024,940.027771,232381
2017-02-09,1003.799988,1006.669983,986.033020,992.732971,931.426758,172192
2017-02-10,996.666992,1005.130005,995.000000,1000.729980,938.929932,123126
2017-02-13,1003.330017,1005.429993,988.400024,998.166992,936.525208,110199
2017-02-14,1002.000000,1002.669983,991.033020,995.267029,933.804382,84232
2017-02-15,995.267029,1003.299988,984.666992,986.732971,925.797302,178443
2017-02-16,986.732971,990.533020,974.666992,980.267029,919.730591,178659
2017-02-17,981.267029,990.000000,976.700012,985.333008,924.483826,119293
2017-02-20,986.666992,993.666992,984.000000,987.767029,926.767456,104094
2017-02-21,988.599976,993.333008,985.700012,988.632996,927.580078,61633
2017-02-22,988.666992,992.666992,982.232971,984.833008,924.014709,161440
2017-02-23,983.333008,1003.169983,980.000000,990.700012,929.519348,244242
2017-02-27,996.000000,999.333008,974.400024,978.833008,918.385254,122229
2017-02-28,978.799988,991.333008,977.000000,980.166992,919.636841,126126
2017-03-01,980.132996,990.000000,980.132996,983.533020,922.794922,159379
2017-03-02,986.732971,996.666992,980.732971,983.333008,922.607361,192703
2017-03-03,980.000000,985.299988,973.500000,979.367004,918.886169,108328
2017-03-06,978.666992,989.966980,978.666992,988.067017,927.049011,111946
2017-03-07,987.966980,994.267029,985.400024,989.767029,928.644043,100816
2017-03-08,990.666992,996.000000,980.067017,983.466980,922.733093,127611
2017-03-09,983.466980,986.666992,976.500000,984.632996,923.827026,142623
2017-03-10,986.666992,997.333008,986.666992,994.632996,933.209473,235431
2017-03-14,1008.000000,1045.930054,1008.000000,1038.369995,974.245483,698859
2017-03-15,1038.670044,1039.630005,1027.329956,1031.530029,967.827942,523809
2017-03-16,1036.670044,1049.599976,1036.670044,1045.530029,980.963379,198711
2017-03-17,1040.770020,1048.530029,1029.369995,1033.800049,969.957764,111823
2017-03-20,1033.800049,1036.270020,1024.069946,1025.500000,962.170349,133867
2017-03-21,1032.670044,1043.329956,1029.170044,1033.030029,969.235291,163036
2017-03-22,1026.599976,1034.670044,1016.669983,1019.969971,956.981750,195066
2017-03-23,1024.670044,1039.270020,1013.929993,1030.729980,967.077271,836466
2017-03-24,1031.329956,1039.329956,1028.069946,1034.229980,970.361206,311665
2017-03-27,1033.969971,1038.270020,1024.569946,1031.099976,967.424438,157969
2017-03-28,1031.329956,1038.670044,1028.770020,1030.500000,966.861572,388414
2017-03-29,1034.000000,1045.000000,1032.530029,1037.369995,973.307312,498381
2017-03-30,1040.670044,1046.670044,1034.670044,1038.430054,974.301880,159034
2017-03-31,1038.670044,1062.000000,1035.099976,1051.729980,986.780518,343099
2017-04-03,1052.000000,1110.000000,1052.000000,1107.099976,1038.731201,765204
2017-04-05,1107.530029,1133.329956,1098.670044,1131.229980,1061.370850,341658
2017-04-06,1125.199951,1134.329956,1113.329956,1121.770020,1052.495117,176827
2017-04-07,1116.530029,1146.300049,1113.329956,1124.329956,1054.896851,658531
2017-04-10,1123.400024,1142.430054,1108.670044,1116.469971,1047.522461,153624
2017-04-11,1114.670044,1139.400024,1114.000000,1136.530029,1066.343628,207373
2017-04-12,1132.670044,1140.000000,1118.500000,1132.829956,1062.872070,234030
2017-04-13,1126.699951,1130.000000,1114.869995,1118.670044,1049.586548,119058
2017-04-17,1120.699951,1125.670044,1114.229980,1120.270020,1051.087769,84196
2017-04-18,1133.329956,1133.329956,1110.000000,1114.099976,1045.298828,135679
2017-04-19,1114.699951,1116.670044,1108.000000,1113.930054,1045.139404,79579
2017-04-20,1114.000000,1123.329956,1109.030029,1120.699951,1051.491211,90552
2017-04-21,1123.329956,1133.969971,1119.869995,1125.099976,1055.619385,138342
2017-04-24,1125.400024,1156.530029,1125.400024,1153.729980,1082.481567,347796
2017-04-25,1156.670044,1166.000000,1156.670044,1163.969971,1092.089111,215325
2017-04-26,1163.329956,1175.800049,1160.430054,1167.300049,1095.213501,301432
2017-04-27,1160.000000,1180.670044,1160.000000,1175.329956,1102.747437,224607
2017-04-28,1173.329956,1175.329956,1160.500000,1165.369995,1093.402588,443098
2017-05-02,1165.329956,1178.000000,1150.000000,1153.030029,1081.824707,112627
2017-05-03,1153.430054,1162.630005,1144.030029,1147.069946,1076.232666,86527
2017-05-04,1146.670044,1160.670044,1146.670044,1154.729980,1083.419678,506491
2017-05-05,1150.000000,1153.329956,1136.000000,1149.900024,1078.887939,87922
2017-05-08,1150.000000,1157.969971,1136.670044,1139.099976,1068.754883,277191
2017-05-09,1140.670044,1169.670044,1136.069946,1161.869995,1090.118774,214614
2017-05-10,1166.670044,1176.670044,1155.329956,1160.199951,1088.551880,149403
2017-05-11,1166.670044,1169.329956,1146.800049,1157.500000,1086.018677,208951
2017-05-12,1157.500000,1171.500000,1151.699951,1159.670044,1088.054688,202854
2017-05-15,1165.829956,1167.630005,1155.630005,1158.869995,1087.303955,71952
2017-05-16,1164.300049,1165.329956,1151.599976,1163.469971,1091.619995,371643
2017-05-17,1162.670044,1176.000000,1154.469971,1170.300049,1098.028198,1857282
2017-05-18,1163.329956,1165.400024,1145.369995,1147.930054,1077.039673,95511
